Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,512,256,1,3,308.111911773681,286.932204008102,14.0279786586761,0.0911321640014648,13396.1700771165,5504,11667,0.4717579497728636,455.24762058258
512,1,512,256,2,1,299.572427272796,278.235720396041,14.1220552921295,0.085822582244873,13024.8881422955,5362,11667,0.4595868689466015,452.434982776641
512,1,512,256,2,2,301.605084896087,281.866956472396,13.0961828231811,0.0877292156219482,13113.2645606994,5426,11667,0.46507242650209996,452.436599969863
512,1,512,256,2,3,304.252538919448,283.28480553627,13.8813865184783,0.0892460346221923,13228.3712573673,5452,11667,0.4673009342590212,452.435057401657
512,2,512,256,1,1,315.015172243118,293.53627705574,14.1248915195465,0.0869374275207519,13696.3118366573,5491,11667,0.470643695894403,457.34283065795
512,2,512,256,1,2,308.630001306533,289.180276632308,12.8920657634735,0.0862610340118408,13418.6957089797,5450,11667,0.46712951058541186,457.342326641082
512,2,512,256,1,3,311.972089529037,291.035470962524,13.8667583465576,0.0880436897277832,13564.0038925668,5462,11667,0.4681580526270678,457.342046499252
512,2,512,256,2,1,313.868334054946,293.787033319473,13.3439688682556,0.0865709781646728,13646.4493067368,5527,11667,0.4737293220193709,457.355604410171
512,2,512,256,2,2,310.677981376647,291.792644262313,12.5638833045959,0.087376594543457,13507.7383207238,5571,11667,0.477500642838776,457.355896949768
512,2,512,256,2,3,307.819638252258,288.022005558013,13.2414367198944,0.0899925231933593,13383.4625327068,5460,11667,0.4679866289534585,457.35699057579
512,3,512,256,1,1,313.796369075775,294.511316537857,12.9009132385253,0.0878050327301025,13643.3203945989,5540,11667,0.4748435758978315,460.630378246307
512,3,512,256,1,2,314.26742863655,295.529141902923,12.4654326438903,0.0874834060668945,13663.8012450674,5531,11667,0.4740721693665895,460.633550405502
512,3,512,256,1,3,311.214369535446,291.714363098144,12.9762110710144,0.0882854461669921,13531.059545019,5529,11667,0.4739007456929802,460.631423234939
512,3,512,256,2,1,301.266923189163,282.121485948562,12.8230445384979,0.0898306369781494,13098.5618777897,5402,11667,0.46301534241878806,451.42719793319
512,3,512,256,2,2,306.016627550125,286.800938367843,12.7877397537231,0.0885980129241943,13305.0707630489,5507,11667,0.4720150852832776,451.428085803985
512,3,512,256,2,3,302.815244197845,283.344730377197,13.0470647811889,0.0930242538452148,13165.880182515,5385,11667,0.4615582411931088,451.427948236465
512,1,1024,512,1,1,85.09,65.39,13.79,0.08,3699.52,1231,11667,0.10551127110653981,223.47
512,1,1024,512,1,2,82.51,63.09,13.47,0.08,3587.51,1236,11667,0.10593983029056313,221.11
512,1,1024,512,1,3,84.42,64.9,13.51,0.08,3670.4,1248,11667,0.10696837233221908,223.48
512,1,1024,512,2,1,83.6,63.93,13.79,0.08,3634.71,1370,11667,0.11742521642238793,222.62
512,1,1024,512,2,2,81.39,62.32,13.26,0.08,3538.75,1322,11667,0.11331104825576412,221.87
512,1,1024,512,2,3,84.18,64.69,13.5,0.09,3660.02,1378,11667,0.11811091111682523,222.61
512,2,1024,512,1,1,84.33,64.66,13.74,0.08,3666.45,1276,11667,0.10936830376274964,229.6
512,2,1024,512,1,2,83.01,64.11,13.16,0.08,3609,1281,11667,0.10979686294677295,229.6
512,2,1024,512,1,3,91.26,71.46,13.72,0.09,3967.73,1397,11667,0.11973943601611382,229.61
512,2,1024,512,2,1,82.85,63.27,13.68,0.08,3602.06,1355,11667,0.11613953887031798,222.11
512,2,1024,512,2,2,80.01,61.43,12.93,0.08,3478.58,1297,11667,0.11116825233564755,222.11
512,2,1024,512,2,3,83.94,64.4,13.59,0.08,3649.37,1373,11667,0.11768235193280192,222.1
512,3,1024,512,1,1,81.36,61.88,13.54,0.08,3537.3,1251,11667,0.10722550784263307,221.11
512,3,1024,512,1,2,84.52,65.14,13.47,0.08,3674.78,1231,11667,0.10551127110653981,223.48
512,3,1024,512,1,3,82.74,63.2,13.5,0.08,3597.31,1284,11667,0.11005399845718694,221.11
512,3,1024,512,2,1,82.79,63.29,13.65,0.08,3599.53,1320,11667,0.11313962458215479,221.87
512,3,1024,512,2,2,85.93,66.3,13.65,0.08,3736.05,1387,11667,0.1188823176480672,222.61
512,3,1024,512,2,3,82.89,63.28,13.67,0.08,3604,1399,11667,0.11991085968972315,221.87
512,1,2048,1024,1,1,39.91,16.43,17.02,0.12,1735.06,269,11667,0.023056484100454272,180.37
512,1,2048,1024,1,2,39.75,16.5,16.58,0.11,1728.47,254,11667,0.02177080654838433,180.37
512,1,2048,1024,1,3,39.85,15.83,17.26,0.1,1732.55,237,11667,0.020313705322705065,180.23
512,1,2048,1024,2,1,44.54,21.4,16.65,0.11,1936.41,380,11667,0.032570497985771836,185.76
512,1,2048,1024,2,2,44.78,20.92,17.13,0.1,1947.1,384,11667,0.032913345332990486,185.76
512,1,2048,1024,2,3,43.87,19.94,17.33,0.11,1907.32,350,11667,0.029999142881631954,183.67
512,2,2048,1024,1,1,39.55,16.66,16.45,0.11,1719.6,273,11667,0.023399331447672922,180.23
512,2,2048,1024,1,2,39.93,16.51,16.2,0.14,1736.1,246,11667,0.02108511185394703,182.46
512,2,2048,1024,1,3,38.07,15.49,16.29,0.11,1655.36,242,11667,0.020742264506728378,180.37
512,2,2048,1024,2,1,43.19,19.42,17.17,0.1,1877.78,358,11667,0.030684837576069254,183.67
512,2,2048,1024,2,2,42.74,19.79,16.47,0.1,1858.22,366,11667,0.031370532270506554,185.08
512,2,2048,1024,2,3,41.36,18.51,16.35,0.09,1798.33,343,11667,0.029399160023999314,185.76
512,3,2048,1024,1,1,40.74,16.95,16.84,0.14,1771.29,245,11667,0.02099940001714237,182.46
512,3,2048,1024,1,2,37.84,15.07,16.44,0.1,1645.21,252,11667,0.021599382874775006,180.23
512,3,2048,1024,1,3,38.85,15.94,16.18,0.12,1689.2,222,11667,0.019028027770635125,182.44
512,3,2048,1024,2,1,43.16,20.1,16.51,0.1,1876.64,379,11667,0.032484786148967174,185.07
512,3,2048,1024,2,2,41.45,18.62,16.39,0.11,1802.37,341,11667,0.02922773635038999,183.67
512,3,2048,1024,2,3,44.61,20.77,17.18,0.1,1939.56,388,11667,0.033256192680209136,185.07
512,1,512,384,1,1,300.98,280.31,13.66,0.09,13086.03,5389,11667,0.4619010885403274,453.92
512,1,512,384,1,2,305.89,285.65,13.47,0.09,13299.46,5475,11667,0.4692723065055284,454.21
512,1,512,384,1,3,304.38,284.73,13.04,0.09,13233.76,5508,11667,0.4721007971200823,453.92
512,1,512,384,2,1,290.54,270.07,13.52,0.09,12632.21,5380,11667,0.46112968200908544,437.62
512,1,512,384,2,2,290.02,269.62,13.64,0.09,12609.6,5427,11667,0.4651581383389046,436.13
512,1,512,384,2,3,283.8,264.12,13.15,0.09,12338.97,5336,11667,0.4573583611896803,437.62
512,2,512,384,1,1,295.73,276.56,12.75,0.08,12857.69,5366,11667,0.4599297162938202,455.46
512,2,512,384,1,2,298.41,277.95,13.6,0.09,12974.44,5432,11667,0.4655866975229279,453.93
