Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1024,1,512,1,1,327.467558383941,307.725564718246,12.6478395462036,0.101325035095214,27288.9631986618,5533,11667,0.47424359304019886,478.385531425476
1024,1024,1,512,1,2,332.574234485626,312.436170816421,12.9797449111938,0.106770277023315,27714.5195404688,5495,11667,0.47098654324162165,478.339849233627
1024,1024,1,512,1,3,322.609200000762,303.312729358673,12.2501575946807,0.104342222213745,26884.1000000635,5521,11667,0.4732150509985429,478.329661369323
1024,1024,1,512,2,1,313.023310422897,293.895557403564,12.6131541728973,0.0835981369018554,26085.2758685747,5541,11667,0.47492928773463616,466.226279735565
1024,1024,1,512,2,2,319.796138525009,299.950007438659,13.0509393215179,0.0872948169708252,26649.6782104174,5546,11667,0.47535784691865945,466.22578215599
1024,1024,1,512,2,3,311.559669494628,292.887323141098,12.2959098815917,0.0859320163726806,25963.305791219,5482,11667,0.46987228936316106,466.226964712142
1024,1024,2,512,1,1,319.520094633102,300.121834039688,12.7442595958709,0.0842912197113037,26626.6745527585,5605,11667,0.48041484529013456,472.923055171966
1024,1024,2,512,1,2,316.283205032348,296.241416454315,13.1910607814788,0.086627721786499,26356.9337526957,5453,11667,0.4673866460958258,472.92292356491
1024,1024,2,512,1,3,315.257169961929,296.424774169921,12.3641443252563,0.082406997680664,26271.4308301607,5498,11667,0.47124367875203566,472.922626972198
1024,1024,2,512,2,1,302.71988415718,283.56303191185,12.6375083923339,0.0859394073486328,25226.657013098,5596,11667,0.4796434387588926,454.148497581481
1024,1024,2,512,2,2,299.768459558486,279.982751607894,13.0124337673187,0.087327241897583,24980.7049632072,5461,11667,0.4680723407902631,454.149087429046
1024,1024,2,512,2,3,301.065294742584,282.526787281036,12.1874117851257,0.0839672088623046,25088.774561882,5474,11667,0.46918659466872376,454.148664951324
1024,1024,3,512,1,1,305.41781926155,285.484065771102,13.0557656288146,0.0857076644897461,25451.4849384625,5511,11667,0.47235793263049625,455.455183506011
1024,1024,3,512,1,2,307.133514881134,287.290177583694,13.0254793167114,0.0861353874206543,25594.4595734278,5573,11667,0.47767206651238536,455.455909013748
1024,1024,3,512,1,3,303.315769195556,284.504836320877,12.3242568969726,0.0865321159362793,25276.3140996297,5520,11667,0.4731293391617382,455.455910921096
1024,1024,3,512,2,1,295.986692428588,274.916503667831,13.7907936573028,0.0861966609954834,24665.5577023824,5508,11667,0.4721007971200823,449.931987762451
1024,1024,3,512,2,2,301.886680841445,279.925377130508,14.2815525531768,0.0830893516540527,25157.2234034538,5514,11667,0.47261506814091025,449.931655168533
1024,1024,3,512,2,3,299.037893295288,279.4791431427,12.8477656841278,0.0853490829467773,24919.824441274,5417,11667,0.464301019970858,449.932865142822
1024,1024,1,1024,1,1,138.415336847305,118.782428741455,13.2611227035522,0.0908694267272949,11534.6114039421,2371,11667,0.2032227650638553,275.361761331558
1024,1024,1,1024,1,2,135.174129247665,116.046828985214,12.9790108203887,0.088228702545166,11264.5107706387,2311,11667,0.19808005485557556,275.361654996871
1024,1024,1,1024,1,3,131.808609008789,113.960364580154,12.1879386901855,0.0899229049682617,10984.0507507324,2214,11667,0.18976600668552326,275.365398883819
1024,1024,1,1024,2,1,139.160453557968,119.957521438598,13.107477903366,0.0922439098358154,11596.704463164,2417,11667,0.2071655095568698,276.015128374099
1024,1024,1,1024,2,2,137.217952728271,118.114356517791,13.042296886444,0.0872344970703125,11434.8293940226,2324,11667,0.19919430873403618,276.01614165306
1024,1024,1,1024,2,3,132.881251811981,114.754240751266,12.4328184127807,0.0957045555114746,11073.4376509984,2350,11667,0.2014228164909574,276.015285730361
1024,1024,2,1024,1,1,136.776129245758,117.307515382766,13.2455949783325,0.08730149269104,11398.0107704798,2371,11667,0.2032227650638553,273.951171636581
1024,1024,2,1024,1,2,135.522421121597,116.354935407638,13.0089330673217,0.0883338451385498,11293.5350934664,2318,11667,0.1986800377132082,273.953032970428
1024,1024,2,1024,1,3,132.871000051498,114.807375669479,12.2813167572021,0.086510419845581,11072.5833376248,2288,11667,0.1961086826090683,273.956660509109
1024,1024,2,1024,2,1,137.938604354858,118.514862060546,13.2135031223297,0.08567476272583,11494.883696238,2468,11667,0.2115368132339076,275.675116539001
1024,1024,2,1024,2,2,135.78272652626,116.80815911293,12.8872606754302,0.0890886783599853,11315.2272105216,2376,11667,0.20365132424787863,275.674848079681
1024,1024,2,1024,2,3,134.775849819183,116.696647644042,12.2652792930603,0.0849049091339111,11231.3208182652,2426,11667,0.20793691608811177,275.674581050872
1024,1024,3,1024,1,1,134.918189287185,115.838262081146,12.9657070636749,0.0869126319885253,11243.1824405988,2335,11667,0.20013713893888746,272.418236017227
1024,1024,3,1024,1,2,135.207321643829,115.990981578826,13.1098229885101,0.0864889621734619,11267.2768036524,2373,11667,0.20339418873746465,272.418741226196
1024,1024,3,1024,1,3,135.073649406433,115.845842599868,12.9850122928619,0.102929353713989,11256.137450536,2373,11667,0.20339418873746465,272.417353153228
1024,1024,3,1024,2,1,138.833048820495,119.662488937377,13.0685098171234,0.0853466987609863,11569.420735041,2462,11667,0.21102254221307962,277.502468347549
1024,1024,3,1024,2,2,137.527080774307,118.16620516777,13.2270753383636,0.0859045982360839,11460.5900645256,2468,11667,0.2115368132339076,277.503299474716
1024,1024,3,1024,2,3,136.312655448913,117.617761611938,12.7079954147338,0.0847847461700439,11359.3879540761,2472,11667,0.21187966058112626,277.502728462219
1024,1024,1,1536,1,1,137.519662857055,118.454964399337,12.9153821468353,0.0930957794189453,11459.9719047546,2320,11667,0.19885146138681753,274.466283798217
1024,1024,1,1536,1,2,134.970446109771,115.785009145736,13.1419987678527,0.0881838798522949,11247.5371758143,2370,11667,0.20313705322705067,274.467438936233
1024,1024,1,1536,1,3,133.847279310226,115.426900148391,12.5184051990509,0.103396892547607,11153.9399425188,2361,11667,0.2023656466958087,274.467175483703
1024,1024,1,1536,2,1,138.590807199478,118.994608163833,13.3699042797088,0.0881052017211914,11549.2339332898,2436,11667,0.2087940344561584,276.65687990188
1024,1024,1,1536,2,2,136.571120977401,117.444368124008,13.0829634666442,0.0840013027191162,11380.9267481168,2437,11667,0.20887974629296305,276.65571975708
1024,1024,1,1536,2,3,135.110027313232,116.817026615142,12.4814887046813,0.0858852863311767,11259.1689427693,2402,11667,0.20587983200479987,276.656253814697
1024,1024,2,1536,1,1,137.521887779235,118.293295383453,13.0242381095886,0.0888609886169433,11460.1573149363,2415,11667,0.2069940858832605,274.570099115371
1024,1024,2,1536,1,2,135.419965505599,116.390452384948,12.937616109848,0.0852682590484619,11284.9971254666,2354,11667,0.20176566383817604,274.571552515029
1024,1024,2,1536,1,3,132.563046455383,114.439728498458,12.3291194438934,0.0868787765502929,11046.9205379486,2333,11667,0.19996571526527812,274.57477736473
1024,1024,2,1536,2,1,138.752726793289,119.431667566299,13.1568870544433,0.0878264904022216,11562.727232774,2351,11667,0.20150852832776206,281.609601736068
1024,1024,2,1536,2,2,139.289557218551,119.466922760009,13.52126455307,0.0929756164550781,11607.4631015459,2409,11667,0.2064798148624325,281.609104871749
1024,1024,2,1536,2,3,139.256284475326,120.979067802429,12.4484095573425,0.0859313011169433,11604.6903729438,2429,11667,0.20819405159852575,281.609364986419
1024,1024,3,1536,1,1,137.497776031494,118.664266586303,12.8171722888946,0.0884473323822021,11458.1480026245,2151,11667,0.1843661609668295,275.88589811325
1024,1024,3,1536,1,2,137.669603347778,118.369595766067,13.1153862476348,0.0878713130950927,11472.4669456481,2219,11667,0.19019456586954658,275.885986089706
1024,1024,3,1536,1,3,136.012300014495,117.782095432281,12.4489703178405,0.0870723724365234,11334.3583345413,2252,11667,0.19302305648410045,275.887870311737
1024,1024,3,1536,2,1,138.447360992431,119.640815973281,12.8550109863281,0.0888402462005615,11537.2800827026,2243,11667,0.19225164995285848,276.732592105865
1024,1024,3,1536,2,2,139.08822107315,119.673002243041,13.2707703113555,0.0869231224060058,11590.6850894292,2255,11667,0.19328019199451443,276.731983661651
1024,1024,3,1536,2,3,135.567106723785,117.353419542312,12.5171561241149,0.0861482620239257,11297.2588936487,2241,11667,0.19208022627924917,276.733468532562
1024,1024,1,2048,1,1,139.353115797042,120.519823312759,12.8428487777709,0.0938997268676757,11612.7596497535,2192,11667,0.1878803462758207,277.809137582778
1024,1024,1,2048,1,2,137.963614225387,118.952248811721,13.0026500225067,0.090233564376831,11496.9678521156,2171,11667,0.18608039770292278,277.807431459426
1024,1024,1,2048,1,3,137.489518880844,119.267286300659,12.4321177005767,0.0925836563110351,11457.459906737,2212,11667,0.18959458301191395,277.807179927825
1024,1024,1,2048,2,1,141.678050279617,122.948210477828,12.7828657627105,0.0887737274169921,11806.5041899681,2327,11667,0.19945144424445016,279.928382873535
1024,1024,1,2048,2,2,139.993881464004,121.246813774108,12.7905030250549,0.0886969566345214,11666.156788667,2266,11667,0.19422302219936574,279.929040670394
1024,1024,1,2048,2,3,136.53733992576,118.412083387374,12.3824610710144,0.0897293090820312,11378.11166048,2237,11667,0.19173737893203052,279.92827796936
1024,1024,2,2048,1,1,137.478145122528,118.412843227386,12.9257550239562,0.0884363651275634,11456.512093544,2289,11667,0.19619439444587297,275.602279901504
1024,1024,2,2048,1,2,137.179182052612,118.345870971679,12.8217430114746,0.0912473201751709,11431.5985043843,2284,11667,0.19576583526184965,275.603235006332
1024,1024,2,2048,1,3,135.960246801376,117.475736141204,12.6057062149047,0.0871167182922363,11330.0205667813,2247,11667,0.19259449730007713,275.608119487762
1024,1024,2,2048,2,1,140.229979038238,121.265091657638,12.9315423965454,0.0877492427825927,11685.8315865198,2363,11667,0.202537070369418,278.599440813064
1024,1024,2,2048,2,2,139.16159582138,119.98848080635,13.1368033885955,0.0890958309173584,11596.7996517817,2354,11667,0.20176566383817604,278.59905219078
1024,1024,2,2048,2,3,137.959842205047,119.261101961135,12.7521307468414,0.0875098705291748,11496.6535170873,2303,11667,0.19739436016113826,278.59923839569
1024,1024,3,2048,1,1,139.233488321304,120.170548200607,12.9695508480072,0.0876247882843017,11602.790693442,2220,11667,0.19028027770635125,276.231198310852
1024,1024,3,2048,1,2,137.03049993515,118.236932277679,12.8127708435058,0.08705735206604,11419.2083279291,2218,11667,0.19010885403274191,276.23167347908
1024,1024,3,2048,1,3,135.791060447692,117.317891597747,12.5821268558502,0.0889019966125488,11315.9217039744,2205,11667,0.1889946001542813,276.236306428909
1024,1024,3,2048,2,1,139.410125017166,120.236622095108,13.0307993888854,0.0871450901031494,11617.5104180971,2317,11667,0.19859432587640352,279.322123527526
1024,1024,3,2048,2,2,139.180881500244,120.155093431472,13.032161951065,0.0891075134277343,11598.406791687,2339,11667,0.2004799862861061,279.3229663372
1024,1024,3,2048,2,3,140.41412949562,121.419234991073,12.8956623077392,0.0886049270629882,11701.1774579683,2358,11667,0.2021085111853947,279.322667598724
1024,1024,1,2560,1,1,136.433804273605,117.508128404617,12.8568465709686,0.0909585952758789,11369.4836894671,2379,11667,0.2039084597582926,275.428510904312
