Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1024,3,512,1,3,303.3157692,284.5048363,12.3242569,0.08653211594,25276.3141,5520,11667,47.313%,455.4559109
1024,1024,3,512,2,1,295.9866924,274.9165037,13.79079366,0.086196661,24665.5577,5508,11667,47.210%,449.9319878
1024,1024,3,512,2,2,301.8866808,279.9253771,14.28155255,0.08308935165,25157.2234,5514,11667,47.262%,449.9316552
1024,1024,3,512,2,3,299.0378933,279.4791431,12.84776568,0.08534908295,24919.82444,5417,11667,46.430%,449.9328651
1024,1024,1,1024,1,1,138.4153368,118.7824287,13.2611227,0.09086942673,11534.6114,2371,11667,20.322%,275.3617613
1024,1024,1,1024,1,2,135.1741292,116.046829,12.97901082,0.08822870255,11264.51077,2311,11667,19.808%,275.361655
1024,1024,1,1024,1,3,131.808609,113.9603646,12.18793869,0.08992290497,10984.05075,2214,11667,18.977%,275.3653989
1024,1024,1,1024,2,1,139.1604536,119.9575214,13.1074779,0.09224390984,11596.70446,2417,11667,20.717%,276.0151284
1024,1024,1,1024,2,2,137.2179527,118.1143565,13.04229689,0.08723449707,11434.82939,2324,11667,19.919%,276.0161417
1024,1024,1,1024,2,3,132.8812518,114.7542408,12.43281841,0.09570455551,11073.43765,2350,11667,20.142%,276.0152857
1024,1024,2,1024,1,1,136.7761292,117.3075154,13.24559498,0.08730149269,11398.01077,2371,11667,20.322%,273.9511716
1024,1024,2,1024,1,2,135.5224211,116.3549354,13.00893307,0.08833384514,11293.53509,2318,11667,19.868%,273.953033
1024,1024,2,1024,1,3,132.8710001,114.8073757,12.28131676,0.08651041985,11072.58334,2288,11667,19.611%,273.9566605
1024,1024,2,1024,2,1,137.9386044,118.5148621,13.21350312,0.08567476273,11494.8837,2468,11667,21.154%,275.6751165
1024,1024,2,1024,2,2,135.7827265,116.8081591,12.88726068,0.08908867836,11315.22721,2376,11667,20.365%,275.6748481
1024,1024,2,1024,2,3,134.7758498,116.6966476,12.26527929,0.08490490913,11231.32082,2426,11667,20.794%,275.6745811
1024,1024,3,1024,1,1,134.9181893,115.8382621,12.96570706,0.08691263199,11243.18244,2335,11667,20.014%,272.418236
1024,1024,3,1024,1,2,135.2073216,115.9909816,13.10982299,0.08648896217,11267.2768,2373,11667,20.339%,272.4187412
1024,1024,3,1024,1,3,135.0736494,115.8458426,12.98501229,0.1029293537,11256.13745,2373,11667,20.339%,272.4173532
1024,1024,3,1024,2,1,138.8330488,119.6624889,13.06850982,0.08534669876,11569.42074,2462,11667,21.102%,277.5024683
1024,1024,3,1024,2,2,137.5270808,118.1662052,13.22707534,0.08590459824,11460.59006,2468,11667,21.154%,277.5032995
1024,1024,3,1024,2,3,136.3126554,117.6177616,12.70799541,0.08478474617,11359.38795,2472,11667,21.188%,277.5027285
1024,1024,1,1536,1,1,137.5196629,118.4549644,12.91538215,0.09309577942,11459.9719,2320,11667,19.885%,274.4662838
1024,1024,1,1536,1,2,134.9704461,115.7850091,13.14199877,0.08818387985,11247.53718,2370,11667,20.314%,274.4674389
1024,1024,1,1536,1,3,133.8472793,115.4269001,12.5184052,0.1033968925,11153.93994,2361,11667,20.237%,274.4671755
1024,1024,1,1536,2,1,138.5908072,118.9946082,13.36990428,0.08810520172,11549.23393,2436,11667,20.879%,276.6568799
1024,1024,1,1536,2,2,136.571121,117.4443681,13.08296347,0.08400130272,11380.92675,2437,11667,20.888%,276.6557198
1024,1024,1,1536,2,3,135.1100273,116.8170266,12.4814887,0.08588528633,11259.16894,2402,11667,20.588%,276.6562538
1024,1024,2,1536,1,1,137.5218878,118.2932954,13.02423811,0.08886098862,11460.15731,2415,11667,20.699%,274.5700991
1024,1024,2,1536,1,2,135.4199655,116.3904524,12.93761611,0.08526825905,11284.99713,2354,11667,20.177%,274.5715525
1024,1024,2,1536,1,3,132.5630465,114.4397285,12.32911944,0.08687877655,11046.92054,2333,11667,19.997%,274.5747774
1024,1024,2,1536,2,1,138.7527268,119.4316676,13.15688705,0.0878264904,11562.72723,2351,11667,20.151%,281.6096017
1024,1024,2,1536,2,2,139.2895572,119.4669228,13.52126455,0.09297561646,11607.4631,2409,11667,20.648%,281.6091049
1024,1024,2,1536,2,3,139.2562845,120.9790678,12.44840956,0.08593130112,11604.69037,2429,11667,20.819%,281.609365
1024,1024,3,1536,1,1,137.497776,118.6642666,12.81717229,0.08844733238,11458.148,2151,11667,18.437%,275.8858981
1024,1024,3,1536,1,2,137.6696033,118.3695958,13.11538625,0.0878713131,11472.46695,2219,11667,19.019%,275.8859861
1024,1024,3,1536,1,3,136.0123,117.7820954,12.44897032,0.08707237244,11334.35833,2252,11667,19.302%,275.8878703
1024,1024,3,1536,2,1,138.447361,119.640816,12.85501099,0.0888402462,11537.28008,2243,11667,19.225%,276.7325921
1024,1024,3,1536,2,2,139.0882211,119.6730022,13.27077031,0.08692312241,11590.68509,2255,11667,19.328%,276.7319837
1024,1024,3,1536,2,3,135.5671067,117.3534195,12.51715612,0.08614826202,11297.25889,2241,11667,19.208%,276.7334685
1024,1024,1,2048,1,1,139.3531158,120.5198233,12.84284878,0.09389972687,11612.75965,2192,11667,18.788%,277.8091376
1024,1024,1,2048,1,2,137.9636142,118.9522488,13.00265002,0.09023356438,11496.96785,2171,11667,18.608%,277.8074315
1024,1024,1,2048,1,3,137.4895189,119.2672863,12.4321177,0.09258365631,11457.45991,2212,11667,18.959%,277.8071799
1024,1024,1,2048,2,1,141.6780503,122.9482105,12.78286576,0.08877372742,11806.50419,2327,11667,19.945%,279.9283829
1024,1024,1,2048,2,2,139.9938815,121.2468138,12.79050303,0.08869695663,11666.15679,2266,11667,19.422%,279.9290407
1024,1024,1,2048,2,3,136.5373399,118.4120834,12.38246107,0.08972930908,11378.11166,2237,11667,19.174%,279.928278
1024,1024,2,2048,1,1,137.4781451,118.4128432,12.92575502,0.08843636513,11456.51209,2289,11667,19.619%,275.6022799
1024,1024,2,2048,1,2,137.1791821,118.345871,12.82174301,0.09124732018,11431.5985,2284,11667,19.577%,275.603235
1024,1024,2,2048,1,3,135.9602468,117.4757361,12.60570621,0.08711671829,11330.02057,2247,11667,19.259%,275.6081195
1024,1024,2,2048,2,1,140.229979,121.2650917,12.9315424,0.08774924278,11685.83159,2363,11667,20.254%,278.5994408
1024,1024,2,2048,2,2,139.1615958,119.9884808,13.13680339,0.08909583092,11596.79965,2354,11667,20.177%,278.5990522
1024,1024,2,2048,2,3,137.9598422,119.261102,12.75213075,0.08750987053,11496.65352,2303,11667,19.739%,278.5992384
1024,1024,3,2048,1,1,139.2334883,120.1705482,12.96955085,0.08762478828,11602.79069,2220,11667,19.028%,276.2311983
1024,1024,3,2048,1,2,137.0304999,118.2369323,12.81277084,0.08705735207,11419.20833,2218,11667,19.011%,276.2316735
1024,1024,3,2048,1,3,135.7910604,117.3178916,12.58212686,0.08890199661,11315.9217,2205,11667,18.899%,276.2363064
1024,1024,3,2048,2,1,139.410125,120.2366221,13.03079939,0.0871450901,11617.51042,2317,11667,19.859%,279.3221235
1024,1024,3,2048,2,2,139.1808815,120.1550934,13.03216195,0.08910751343,11598.40679,2339,11667,20.048%,279.3229663
1024,1024,3,2048,2,3,140.4141295,121.419235,12.89566231,0.08860492706,11701.17746,2358,11667,20.211%,279.3226676
1024,1024,1,2560,1,1,136.4338043,117.5081284,12.85684657,0.09095859528,11369.48369,2379,11667,20.391%,275.4285109
1024,1024,1,2560,1,2,137.3503892,118.3415949,12.9260664,0.09332442284,11445.86577,2357,11667,20.202%,275.4295254
1024,1024,1,2560,1,3,133.9223847,115.7596025,12.32283187,0.09076046944,11160.19873,2311,11667,19.808%,275.4287553
1024,1024,1,2560,2,1,141.0983815,121.1685176,13.42283487,0.09098434448,11758.19846,2394,11667,20.519%,281.0608919
