Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1536,1,N/A,1,1,111.007,93.545,12.085,0.063,4826.393,1693,11667,14.511%,250.411
512,1536,1,N/A,1,2,112.742,94.629,12.594,0.063,4901.821,1695,11667,14.528%,250.411
512,1536,1,N/A,1,3,111.772,94.519,11.877,0.074,4859.636,1645,11667,14.100%,250.413
512,1536,1,N/A,2,1,91.652,75.027,11.555,0.056,3984.859,1414,11667,12.120%,232.086
512,1536,1,N/A,2,2,95.540,77.388,12.611,0.059,4153.915,1440,11667,12.343%,232.086
512,1536,1,N/A,2,3,91.935,75.227,11.624,0.065,3997.167,1401,11667,12.008%,232.087
512,1536,2,N/A,1,1,106.411,89.956,11.455,0.055,4626.566,1704,11667,14.605%,251.685
512,1536,2,N/A,1,2,114.825,96.248,12.808,0.061,4992.395,1806,11667,15.480%,251.690
512,1536,2,N/A,1,3,106.053,89.564,11.407,0.066,4610.998,1704,11667,14.605%,251.686
512,1536,2,N/A,2,1,89.884,73.800,11.230,0.056,3907.986,1407,11667,12.060%,232.760
512,1536,2,N/A,2,2,95.632,77.542,12.558,0.060,4157.900,1453,11667,12.454%,232.757
512,1536,2,N/A,2,3,89.838,73.502,11.336,0.064,3905.999,1393,11667,11.940%,232.760
512,1536,3,N/A,1,1,105.624,89.483,11.239,0.055,4592.331,1630,11667,13.971%,250.337
512,1536,3,N/A,1,2,113.689,95.151,12.869,0.058,4942.990,1741,11667,14.922%,250.337
512,1536,3,N/A,1,3,106.422,90.535,10.999,0.063,4627.054,1669,11667,14.305%,250.340
512,1536,3,N/A,2,1,90.303,74.348,11.176,0.056,3926.202,1364,11667,11.691%,232.218
512,1536,3,N/A,2,2,95.547,77.677,12.417,0.061,4154.224,1388,11667,11.897%,232.219
512,1536,3,N/A,2,3,89.932,74.157,10.935,0.064,3910.072,1352,11667,11.588%,232.219
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
